timestamp,rudder_angle_setpoint_rad,rate_of_turn
1789134879813649,-0.008507969789206982,-0.008507969789206982
1789134879823649,-0.06452400237321854,-0.06452400237321854
1789134879833649,-0.04426460340619087,-0.04426460340619087
1789134879843649,-0.05366704985499382,-0.05366704985499382
1789134879851649,-0.03589145839214325,-0.03589145839214325
1789134879861649,-0.0567719042301178,-0.0567719042301178
1789134879873649,0.008424998261034489,0.008424998261034489
1789134879885649,-0.10140888392925262,-0.10140888392925262
1789134879895649,-0.09051314741373062,-0.09051314741373062
1789134879903649,-0.070858895778656,-0.070858895778656
1789134879913649,-0.05731276422739029,-0.05731276422739029
1789134879921649,0.016412140801548958,0.016412140801548958
1789134879933649,0.03528693690896034,0.03528693690896034
1789134879945649,0.004387766122817993,0.004387766122817993
1789134879949649,0.022366151213645935,0.022366151213645935
1789134879963649,0.032282862812280655,0.032282862812280655
1789134879973649,0.039012931287288666,0.039012931287288666
1789134879983649,0.051270563155412674,0.051270563155412674
1789134879993649,0.03231984004378319,0.03231984004378319
1789134880005649,-0.12077993899583817,-0.12077993899583817
1789134880013649,-0.03897850960493088,-0.03897850960493088
1789134880023649,0.004258993547409773,0.004258993547409773
1789134880033649,0.01796513982117176,0.01796513982117176
1789134880043649,0.024431675672531128,0.024431675672531128
1789134880053649,-0.013573040254414082,-0.013573040254414082
1789134880065649,-0.024228092283010483,-0.024228092283010483
1789134880067649,-0.009514744393527508,-0.009514744393527508
1789134880081649,0.0006214099703356624,0.0006214099703356624
1789134880093649,0.007523688953369856,0.007523688953369856
1789134880103649,0.021235760301351547,0.021235760301351547
1789134880113649,0.0006314367055892944,0.0006314367055892944
1789134880125649,-0.08206156641244888,-0.08206156641244888
1789134880133649,0.005216975696384907,0.005216975696384907
1789134880141649,-0.018574684858322144,-0.018574684858322144
1789134880153649,-0.003992792218923569,-0.003992792218923569
1789134880163649,0.024959510192275047,0.024959510192275047
1789134880173649,-0.0185698214918375,-0.0185698214918375
1789134880185649,0.024187222123146057,0.024187222123146057
1789134880187649,0.0620199516415596,0.0620199516415596
1789134880203649,0.09995907545089722,0.09995907545089722
1789134880213649,0.10516537725925446,0.10516537725925446
1789134880223649,0.13510861992835999,0.13510861992835999
1789134880233649,0.10005590319633484,0.10005590319633484
1789134880245649,-0.12159722298383713,-0.12159722298383713
1789134880247649,-0.0398455411195755,-0.0398455411195755
1789134880263649,-0.05616991966962814,-0.05616991966962814
1789134880273649,-0.03557269647717476,-0.03557269647717476
1789134880281649,-0.11787019670009613,-0.11787019670009613
1789134880293649,-0.057359013706445694,-0.057359013706445694
1789134880305649,-0.03849825635552406,-0.03849825635552406
1789134880315649,-0.01816134713590145,-0.01816134713590145
1789134880323649,-0.010761567391455173,-0.010761567391455173
1789134880333649,-0.004705769941210747,-0.004705769941210747
1789134880341649,0.04887859523296356,0.04887859523296356
1789134880353649,-0.010792899876832962,-0.010792899876832962
1789134880363649,-0.1141912117600441,-0.1141912117600441
1789134880375649,-0.07921670377254486,-0.07921670377254486
1789134880379649,-0.05856602266430855,-0.05856602266430855
1789134880393649,-0.04624313488602638,-0.04624313488602638
1789134880403649,-0.03252188116312027,-0.03252188116312027
1789134880413649,-0.08168332278728485,-0.08168332278728485
1789134880425649,-0.010848279111087322,-0.010848279111087322
1789134880433649,0.004665370099246502,0.004665370099246502
1789134880443649,0.04700157046318054,0.04700157046318054
1789134880453649,0.05292047560214996,0.05292047560214996
1789134880463649,0.06548528373241425,0.06548528373241425
1789134880473649,0.09236845374107361,0.09236845374107361
1789134880485649,0.048986632376909256,0.048986632376909256
1789134880493649,0.06420253962278366,0.06420253962278366
1789134880503649,0.033327531069517136,0.033327531069517136
1789134880511649,0.04401975870132446,0.04401975870132446
1789134880523649,0.05014491453766823,0.05014491453766823
1789134880533649,0.08683337271213531,0.08683337271213531
1789134880545649,0.006806774064898491,0.006806774064898491
1789134880553649,0.03837994486093521,0.03837994486093521
1789134880563649,0.0014629941433668137,0.0014629941433668137
1789134880573649,0.007753347512334585,0.007753347512334585
1789134880579649,-0.024732615798711777,-0.024732615798711777
1789134880593649,0.010965331457555294,0.010965331457555294
1789134880603821,-0.004738606978207827,-0.004738606978207827
1789134880615821,0.015829889103770256,0.015829889103770256
1789134880623821,0.020241685211658478,0.020241685211658478
1789134880633821,0.030175350606441498,0.030175350606441498
1789134880643821,0.04215008765459061,0.04215008765459061
1789134880653821,0.09538000822067261,0.09538000822067261
1789134880663821,-0.02849627286195755,-0.02849627286195755
1789134880673821,-0.00997468177229166,-0.00997468177229166
1789134880683821,0.02607831545174122,0.02607831545174122
1789134880693821,0.03177040070295334,0.03177040070295334
1789134880703821,0.052401598542928696,0.052401598542928696
1789134880711821,0.030453737825155258,0.030453737825155258
1789134880725821,0.0569036640226841,0.0569036640226841
1789134880733821,0.08003313839435577,0.08003313839435577
1789134880741821,0.07256560027599335,0.07256560027599335
1789134880753821,0.08521470427513123,0.08521470427513123
1789134880763821,0.11044376343488693,0.11044376343488693
1789134880773821,0.07267095148563385,0.07267095148563385
1789134880785821,-0.06853654980659485,-0.06853654980659485
1789134880787821,0.013411867432296276,0.013411867432296276
1789134880803821,-0.007166305091232061,-0.007166305091232061
1789134880807821,0.010827461257576942,0.010827461257576942
1789134880823821,0.03255767002701759,0.03255767002701759
1789134880833821,0.05856369063258171,0.05856369063258171
1789134880845821,0.04977424442768097,0.04977424442768097
1789134880853821,0.081693634390831,0.081693634390831
1789134880859821,0.07384605705738068,0.07384605705738068
1789134880873821,0.0808989629149437,0.0808989629149437
1789134880883821,0.08932759612798691,0.08932759612798691
1789134880893821,0.07398294657468796,0.07398294657468796
1789134880905821,0.02237669751048088,0.02237669751048088
1789134880913821,0.08623667806386948,0.08623667806386948
1789134880923821,0.056467436254024506,0.056467436254024506
1789134880933821,0.06318332999944687,0.06318332999944687
1789134880941821,0.07771869003772736,0.07771869003772736
1789134880953821,0.1107378751039505,0.1107378751039505
1789134880965821,0.12479648739099503,0.12479648739099503
1789134880973821,0.14553077518939972,0.14553077518939972
1789134880983821,0.13099107146263123,0.13099107146263123
1789134880993821,0.1415787786245346,0.1415787786245346
1789134881003821,0.1623455435037613,0.1623455435037613
1789134881013821,0.13114526867866516,0.13114526867866516
1789134881025821,-0.017162906005978584,-0.017162906005978584
1789134881027821,0.04916771501302719,0.04916771501302719
1789134881039821,0.016705304384231567,0.016705304384231567
1789134881051821,0.03439776226878166,0.03439776226878166
1789134881063821,0.06174949184060097,0.06174949184060097
1789134881073821,-0.012080545537173748,-0.012080545537173748
1789134881085821,0.03832785412669182,0.03832785412669182
1789134881093821,0.06742030382156372,0.06742030382156372
