timestamp,chi_sf,chi_d,steering_active
1789132623721490,0.0,0.0,0
1789132623733514,0.0,0.0,0
1789132623745490,0.0,0.0,0
1789132623733514,0.0,0.0,0
1789132623733514,0.0,0.0,0
1789132623769531,0.0,0.0,0
1789132623781530,0.0,0.0,0
1789132623793519,0.0,0.0,0
1789132623805510,0.0,0.0,0
1789132623793519,0.0,0.0,0
1789132623793519,0.0,0.0,0
1789132623829510,0.0,0.0,0
1789132623841490,0.0,0.0,0
1789132623853514,0.0,0.0,0
1789132623865490,0.0,0.0,0
1789132623853514,0.0,0.0,0
1789132623877492,0.0,0.0,0
1789132623889490,0.0,0.0,0
1789132623901510,0.0,0.0,0
1789132623913552,0.0,0.0,0
1789132623925494,0.0,0.0,0
1789132623913552,0.0,0.0,0
1789132623937512,0.0,0.0,0
1789132623949490,0.0,0.0,0
1789132623961509,0.0,0.0,0
1789132623973514,0.0,0.0,0
1789132623985489,0.0,0.0,0
1789132623973514,0.0,0.0,0
1789132623973514,0.0,0.0,0
1789132624009489,0.0,0.0,0
1789132624021489,0.0,0.0,0
1789132624033533,0.0,0.0,0
1789132624045598,0.0,0.0,0
1789132624033533,0.0,0.0,0
1789132624057495,0.0,0.0,0
1789132624057495,0.0,0.0,0
1789132624081490,0.0,0.0,0
1789132624093533,0.0,0.0,0
1789132624081490,0.0,0.0,0
1789132624081490,0.0,0.0,0
1789132624117505,0.0,0.0,0
1789132624129489,0.0,0.0,0
1789132624141490,0.0,0.0,0
1789132624153514,0.0,0.0,0
1789132624165519,0.0,0.0,0
1789132624153514,0.0,0.0,0
1789132624177540,0.0,0.0,0
1789132624189493,0.0,0.0,0
1789132624201510,0.0,0.0,0
1789132624213523,0.0,0.0,0
1789132624225510,0.0,0.0,0
1789132624225510,0.0,0.0,0
1789132624225510,0.0,0.0,0
1789132624249489,0.0,0.0,0
1789132624249489,0.0,0.0,0
1789132624273515,0.0,0.0,0
1789132624285489,0.0,0.0,0
1789132624273515,0.0,0.0,0
1789132624297512,0.0,0.0,0
1789132624297512,0.0,0.0,0
1789132624297512,0.0,0.0,0
1789132624333533,0.0,0.0,0
1789132624345490,0.0,0.0,0
1789132624333533,0.0,0.0,0
1789132624333533,0.0,0.0,0
1789132624333533,0.0,0.0,0
1789132624381497,0.0,0.0,0
1789132624393514,0.0,0.0,0
1789132624405490,0.0,0.0,0
1789132624393514,0.0,0.0,0
1789132624393514,0.0,0.0,0
1789132624393514,0.0,0.0,0
1789132624393514,0.0,0.0,0
1789132624453537,0.0,0.0,0
1789132624465510,0.0,0.0,0
1789132624453537,0.0,0.0,0
1789132624477500,0.0,0.0,0
1789132624489509,0.0,0.0,0
1789132624501489,0.0,0.0,0
1789132624513515,0.0,0.0,0
1789132624525511,0.0,0.0,0
1789132624513515,0.0,0.0,0
1789132624537491,0.0,0.0,0
1789132624549489,0.0,0.0,0
1789132624561489,0.0,0.0,0
1789132624561489,0.0,0.0,0
1789132624585494,0.0,0.0,0
1789132624561489,0.0,0.0,0
1789132624561489,0.0,0.0,0
1789132624561493,0.0,0.0,0
1789132624561493,0.0,0.0,0
1789132624561493,0.0,0.0,0
1789132624645494,0.0,0.0,0
1789132624657515,0.0,0.0,0
1789132624657515,0.0,0.0,0
1789132624657515,0.0,0.0,0
1789132624657515,0.0,0.0,0
1789132624693518,0.0,0.0,0
1789132624705607,0.0,0.0,0
1789132624693518,0.0,0.0,0
1789132624717503,0.0,0.0,0
1789132624729515,0.0,0.0,0
1789132624741495,0.0,0.0,0
1789132624753536,0.0,0.0,0
1789132624765495,0.0,0.0,0
1789132624753536,0.0,0.0,0
1789132624777501,0.0,0.0,0
1789132624789516,0.0,0.0,0
1789132624801495,0.0,0.0,0
1789132624813524,0.0,0.0,0
1789132624825495,0.0,0.0,0
1789132624825495,0.0,0.0,0
1789132624825495,0.0,0.0,0
1789132624825495,0.0,0.0,0
1789132624861515,0.0,0.0,0
1789132624873518,0.0,0.0,0
1789132624885515,0.0,0.0,0
1789132624873518,0.0,0.0,0
1789132624897499,0.0,0.0,0
1789132624909495,0.0,0.0,0
1789132624921516,0.0,0.0,0
1789132624933519,0.0,0.0,0
1789132624945495,0.0,0.0,0
1789132624933519,0.0,0.0,0
1789132624957499,0.0,0.0,0
1789132624969534,0.0,0.0,0
1789132624981499,0.0,0.0,0
1789132624993537,0.0,0.0,0
1789132625005495,0.0,0.0,0
1789132624993537,0.0,0.0,0
1789132625017530,0.0,0.0,0
1789132625029495,0.0,0.0,0
1789132625041495,0.0,0.0,0
1789132625053536,0.0,0.0,0
1789132625065494,0.0,0.0,0
1789132625053536,0.0,0.0,0
1789132625053536,0.0,0.0,0
1789132625089495,0.0,0.0,0
1789132625101534,0.0,0.0,0
1789132625113523,0.0,0.0,0
1789132625125515,0.0,0.0,0
1789132625125515,0.0,0.0,0
1789132625137497,0.0,0.0,0
1789132625137497,0.0,0.0,0
1789132625161502,0.0,0.0,0
1789132625173537,0.0,0.0,0
1789132625185516,0.0,0.0,0
1789132625185516,0.0,0.0,0
1789132625185516,0.0,0.0,0
1789132625209495,0.0,0.0,0
1789132625221513,0.0,0.0,0
1789132625221513,0.0,0.0,0
1789132625245499,0.0,0.0,0
1789132625245499,0.0,0.0,0
1789132625245499,0.0,0.0,0
1789132625245499,0.0,0.0,0
1789132625245499,0.0,0.0,0
1789132625245499,0.0,0.0,0
1789132625305495,0.0,0.0,0
1789132625245499,0.0,0.0,0
1789132625245499,0.0,0.0,0
1789132625329495,0.0,0.0,0
1789132625341494,0.0,0.0,0
1789132625353518,0.0,0.0,0
1789132625365604,0.0,0.0,0
1789132625353518,0.0,0.0,0
1789132625377515,0.0,0.0,0
1789132625389515,0.0,0.0,0
1789132625401495,0.0,0.0,0
1789132625413543,0.0,0.0,0
1789132625425495,0.0,0.0,0
1789132625413543,0.0,0.0,0
1789132625437888,0.0,0.0,0
1789132625449514,0.0,0.0,0
1789132625461495,0.0,0.0,0
1789132625473541,0.0,0.0,0
1789132625485495,0.0,0.0,0
1789132625473541,0.0,0.0,0
1789132625497546,0.0,0.0,0
1789132625509498,0.0,0.0,0
1789132625521515,0.0,0.0,0
1789132625533519,0.0,0.0,0
1789132625545525,0.0,0.0,0
1789132625533519,0.0,0.0,0
1789132625557499,0.0,0.0,0
1789132625569495,0.0,0.0,0
1789132625581495,0.0,0.0,0
1789132625593518,0.0,0.0,0
1789132625605495,0.0,0.0,0
1789132625617495,0.0,0.0,0
1789132625617500,0.0,0.0,0
1789132625617500,0.0,0.0,0
1789132625617500,0.0,0.0,0
1789132625653633,0.0,0.0,0
1789132625665500,0.0,0.0,0
1789132625665500,0.0,0.0,0
1789132625665500,0.0,0.0,0
1789132625689500,0.0,0.0,0
1789132625689500,0.0,0.0,0
1789132625713521,0.0,0.0,0
1789132625725498,0.0,0.0,0
1789132625725498,0.0,0.0,0
1789132625725498,0.0,0.0,0
1789132625725498,0.0,0.0,0
