timestamp,rudder_angle_setpoint_rad
1789132670871044,-0.09987581521272659
1789132670883070,-0.07421641051769257
1789132670894987,-0.002541937865316868
1789132670906980,-0.0025420780293643475
1789132670909968,-0.002542113186791539
1789132670919212,-0.0025422212202101946
1789132670930984,-0.0025423590559512377
1789132670943090,-0.002547087147831917
1789132670954994,-0.0025472266133874655
1789132670966996,-0.002547367475926876
1789132670970023,-0.0025474028661847115
1789132670979040,-0.0025475085712969303
1789132670990972,-0.0025476485025137663
1789132671003149,-0.0025477914605289698
1789132671009028,-0.0025478603783994913
1789132671017966,-0.0025479651521891356
1789132671029956,-0.0025481057818979025
1789132671039042,-0.002548212418332696
1789132671050970,-0.0025483521167188883
1789132671063097,-0.002548494376242161
1789132671065953,-0.002548527903854847
1789132671074975,-0.002548633608967066
1789132671086998,-0.00254877470433712
1789132671099036,-0.0025489157997071743
1789132671110983,-0.002553642028942704
1789132671123066,-0.002553784055635333
1789132671129030,-0.002553854137659073
1789132671135053,-0.0025539249181747437
1789132671146972,-0.0025540648493915796
1789132671159034,-0.002554206643253565
1789132671170974,-0.002554347040131688
1789132671183067,-0.002554489066824317
1789132671191955,-0.002554593374952674
1789132671195044,-0.002554629696533084
1789132671213060,-0.002554841572418809
1789132671219057,-0.0025549118872731924
1789132671230971,-0.0025596381165087223
1789132671243086,-0.002559780841693282
1789132671245954,-0.002559814602136612
1789132671255017,-0.0025599212385714054
1789132671273055,-0.0025601335801184177
1789132671281965,-0.0025602385867387056
1789132671293979,-0.0025603799149394035
1789132671303066,-0.0025604870170354843
1789132671305953,-0.0025605210103094578
1789132671314974,-0.002560627181082964
1789132671326994,-0.0025607687421143055
1789132671339040,-0.0025609105359762907
1789132671350991,-0.002561380621045828
1789132671363079,-0.002561193658038974
1789132671374978,-0.00256133358925581
1789132671386974,-0.0025614749174565077
1789132671389953,-0.0025615100748836994
1789132671399116,-0.002561617875471711
1789132671410972,-0.00256175734102726
1789132671423089,-0.0025619000662118196
1789132671425954,-0.0025619338266551495
1789132671435183,-0.0025666235014796257
1789132671446976,-0.002566762501373887
1789132671459032,-0.0025669047608971596
1789132671470972,-0.00256704562343657
1789132671483081,-0.0025671885814517736
1789132671485972,-0.002567222574725747
1789132671500960,-0.002567399526014924
1789132671506995,-0.002567470772191882
1789132671519046,-0.002567612798884511
1789132671534028,-0.002567789750173688
1789132671543087,-0.002567896619439125
1789132671545952,-0.002567930379882455
1789132671554975,-0.0025680367834866047
1789132671566974,-0.0025681783445179462
1789132671579051,-0.0025683208368718624
1789132671590971,-0.0025684614665806293
1789132671603082,-0.002568604424595833
1789132671611956,-0.0025687089655548334
1789132671614992,-0.19756217300891876
1789132671626972,-0.002624426269903779
1789132671639042,-0.00262457225471735
1789132671650988,-0.0026247166097164154
1789132671663149,-0.002624863525852561
1789132671674976,-0.0026250064838677645
1789132671677968,-0.002625042572617531
1789132671689956,-0.002625187626108527
1789132671701953,-0.002624642802402377
1789132671710973,-0.00262566190212965
1789132671723066,-0.002625912893563509
1789132671725963,-0.00262562301941216
1789132671734977,-0.00262573198415339
1789132671747004,-0.00262587727047503
1789132671759033,-0.0026260227896273136
1789132671770972,-0.0026261669117957354
1789132671783065,-0.002630899427458644
1789132671785956,-0.0026263482868671417
1789132671795042,-0.0026310442481189966
1789132671806972,-0.0026311888359487057
1789132671819037,-0.0026313348207622766
1789132671830976,-0.0026314794085919857
1789132671843090,-0.0026316263247281313
1789132671845990,-0.0026316612493246794
1789132671861053,-0.0026318435557186604
1789132671866992,-0.0026319155003875494
1789132671879060,-0.002632061718031764
1789132671890981,-0.0026322060730308294
1789132671903089,-0.0026323527563363314
1789132671905963,-0.002632387448102236
1789132671914985,-0.002632496878504753
1789132671933066,-0.0026327157393097878
1789132671941975,-0.002632823772728443
1789132671954004,-0.002632969291880727
1789132671963080,-0.0026330791879445314
1789132671965962,-0.0026331141125410795
1789132671974990,-0.002633223542943597
1789132671986982,-0.002633368596434593
1789132671999046,-0.002638100879266858
1789132672011004,-0.002638245699927211
1789132672023079,-0.0026383923832327127
1789132672034993,-0.002638536971062422
1789132672037968,-0.002638573059812188
1789132672046981,-0.002638682257384062
1789132672061968,-0.0026388640981167555
1789132672070981,-0.002638973528519273
1789132672083077,-0.0026391204446554184
1789132672085978,-0.00263915560208261
1789132672095089,-0.0026394841261208057
1789132672106983,-0.0026394107844680548
1789132672119054,-0.002639557234942913
1789132672130980,-0.002639701822772622
1789132672143115,-0.002639849204570055
1789132672145981,-0.0026398838963359594
1789132672164002,-0.0026401025243103504
1789132672173070,-0.0026402126532047987
1789132672179051,-0.002644871361553669
1789132672191054,-0.0026450171135365963
1789132672203075,-0.002645163331180811
1789132672205964,-0.0026451984886080027
1789132672214984,-0.0026453081518411636
1789132672226985,-0.0026454541366547346
1789132672239051,-0.0026456008199602365
1789132672250994,-0.002645745873451233
1789132672263075,-0.0026458927895873785
1789132672275007,-0.002646037843078375
1789132672286991,-0.002646183595061302
1789132672290043,-0.002646220615133643
1789132672299042,-0.0026463300455361605
1789132672313991,0.19402079284191132
1789132672323165,-0.06720749288797379
1789132672326013,0.2051384299993515
1789132672335187,-0.06720764189958572
1789132672349966,0.19620180130004883
1789132672361962,0.20668219029903412
1789132672370981,-0.06831689178943634
1789132672383094,-0.09931905567646027
1789132672385965,-0.0027029358316212893
1789132672394986,-0.0027030480559915304
1789132672407000,-0.002703197533264756
1789132672419077,-0.0027033479418605566
1789132672430981,-0.0027034960221499205
1789132672443100,-0.002703646896407008
1789132672445963,-0.002703682519495487
1789132672463989,-0.0027039069682359695
1789132672466982,-0.002703944221138954
1789132672479043,-0.002704094396904111
1789132672490985,-0.002704242942854762
1789132672503074,-0.0027043933514505625
1789132672506001,-0.002704429905861616
1789132672515058,-0.0027045425958931446
1789132672526996,-0.0027092774398624897
